Size,ID (mm),Cross Sect (mm)
M2.5X5.5,5.50ñ0.13,2.50ñ0.08
M2.5X6,6.00ñ0.13,2.50ñ0.08
M2.5X6.5,6.50ñ0.13,2.50ñ0.08
M2.5X7,7.00ñ0.13,2.50ñ0.08
M2.5X7.5,7.50ñ0.13,2.50ñ0.08
M2.5X8,8.00ñ0.13,2.50ñ0.08
M2.5X8.5,8.50ñ0.13,2.50ñ0.08
M2.5X9,9.00ñ0.13,2.50ñ0.08
M2.5X9.5,9.50ñ0.13,2.50ñ0.08
M2.5X10,10.00ñ0.13,2.50ñ0.08
M2.5X10.5,10.50ñ0.13,2.50ñ0.08
M2.5X11,11.00ñ0.13,2.50ñ0.08
M2.5X11.5,11.50ñ0.13,2.50ñ0.08
M2.5X12,12.00ñ0.15,2.50ñ0.08
M2.5X12.5,12.50ñ0.15,2.50ñ0.08
M2.5X13,13.00ñ0.15,2.50ñ0.08
M2.5X13.5,13.50ñ0.15,2.50ñ0.08
M2.5X14,14.00ñ0.15,2.50ñ0.08
M2.5X14.5,14.50ñ0.18,2.50ñ0.08
M2.5X15,15.00ñ0.18,2.50ñ0.08
M2.5X15.5,15.50ñ0.18,2.50ñ0.08
M2.5X16,16.00ñ0.18,2.50ñ0.08
M2.5X16.5,16.50ñ0.18,2.50ñ0.08
M2.5X17,17.00ñ0.18,2.50ñ0.08
M2.5X17.5,17.50ñ0.18,2.50ñ0.08
M2.5X18,18.00ñ0.20,2.50ñ0.08
M2.5X18.5,18.50ñ0.20,2.50ñ0.08
M2.5X19,19.00ñ0.20,2.50ñ0.08
M2.5X19.5,19.50ñ0.20,2.50ñ0.08
M2.5X20,20.00ñ0.20,2.50ñ0.08
M2.5X20.5,20.50ñ0.20,2.50ñ0.08
M2.5X21,21.00ñ0.23,2.50ñ0.08
M2.5X21.5,21.50ñ0.23,2.50ñ0.08
M2.5X22,22.00ñ0.23,2.50ñ0.08
M2.5X22.5,22.50ñ0.23,2.50ñ0.08
M2.5X23,23.00ñ0.23,2.50ñ0.08
M2.5X23.5,23.50ñ0.23,2.50ñ0.08
M2.5X24,24.00ñ0.25,2.50ñ0.08
M2.5X24.5,24.50ñ0.25,2.50ñ0.08
M2.5X25,25.00ñ0.25,2.50ñ0.08
M2.5X25.5,25.50ñ0.25,2.50ñ0.08
M2.5X26,26.00ñ0.25,2.50ñ0.08
M2.5X26.5,26.50ñ0.25,2.50ñ0.08
M2.5X27,27.00ñ0.25,2.50ñ0.08
M2.5X27.5,27.50ñ0.25,2.50ñ0.08
M2.5X28,28.00ñ0.25,2.50ñ0.08
M2.5X28.5,28.50ñ0.25,2.50ñ0.08
M2.5X29,29.00ñ0.30,2.50ñ0.08
M2.5X29.5,29.50ñ0.30,2.50ñ0.08
M2.5X30,30.00ñ0.30,2.50ñ0.08
M2.5X30.5,30.50ñ0.30,2.50ñ0.08
M2.5X31,31.00ñ0.30,2.50ñ0.08
M2.5X31.5,31.50ñ0.30,2.50ñ0.08
M2.5X32,32.00ñ0.30,2.50ñ0.08
M2.5X32.5,32.50ñ0.30,2.50ñ0.08
M2.5X33,33.00ñ0.30,2.50ñ0.08
M2.5X33.5,33.50ñ0.30,2.50ñ0.08
M2.5X34,34.00ñ0.30,2.50ñ0.08
M2.5X34.5,34.50ñ0.30,2.50ñ0.08
M2.5X35,35.00ñ0.30,2.50ñ0.08
M2.5X35.5,35.50ñ0.30,2.50ñ0.08
M2.5X36,36.00ñ0.36,2.50ñ0.08
M2.5X36.5,36.50ñ0.36,2.50ñ0.08
M2.5X37,37.00ñ0.36,2.50ñ0.08
M2.5X37.5,37.50ñ0.36,2.50ñ0.08
M2.5X38,38.00ñ0.36,2.50ñ0.08
M2.5X38.5,38.50ñ0.36,2.50ñ0.08
M2.5X39,39.00ñ0.36,2.50ñ0.08
M2.5X39.5,39.50ñ0.36,2.50ñ0.08
M2.5X40,40.00ñ0.36,2.50ñ0.08
M2.5X41,41.00ñ0.36,2.50ñ0.08
M2.5X42,42.00ñ0.36,2.50ñ0.08
M2.5X43,43.00ñ0.36,2.50ñ0.08
M2.5X44,44.00ñ0.41,2.50ñ0.08
M2.5X45,45.00ñ0.41,2.50ñ0.08
M2.5X46,46.00ñ0.41,2.50ñ0.08
M2.5X47,47.00ñ0.41,2.50ñ0.08
M2.5X48,48.00ñ0.41,2.50ñ0.08
M2.5X49,49.00ñ0.41,2.50ñ0.08
M2.5X50,50.00ñ0.41,2.50ñ0.08
M2.5X51,51.00ñ0.46,2.50ñ0.08
M2.5X52,52.00ñ0.46,2.50ñ0.08
M2.5X53,53.00ñ0.46,2.50ñ0.08
M2.5X54,54.00ñ0.46,2.50ñ0.08
M2.5X55,55.00ñ0.46,2.50ñ0.08
M2.5X56,56.00ñ0.46,2.50ñ0.08
M2.5X57,57.00ñ0.46,2.50ñ0.08
M2.5X58,58.00ñ0.46,2.50ñ0.08
M2.5X59,59.00ñ0.51,2.50ñ0.08
M2.5X60,60.00ñ0.51,2.50ñ0.08
M2.5X61,61.00ñ0.51,2.50ñ0.08
M2.5X62,62.00ñ0.51,2.50ñ0.08
M2.5X63,63.00ñ0.51,2.50ñ0.08
M2.5X64,64.00ñ0.51,2.50ñ0.08
M2.5X65,65.00ñ0.51,2.50ñ0.08
M2.5X66,66.00ñ0.51,2.50ñ0.08
M2.5X67,67.00ñ0.56,2.50ñ0.08
M2.5X68,68.00ñ0.56,2.50ñ0.08
M2.5X69,69.00ñ0.56,2.50ñ0.08
M2.5X70,70.00ñ0.56,2.50ñ0.08
M2.5X71,71.00ñ0.56,2.50ñ0.08
M2.5X72,72.00ñ0.56,2.50ñ0.08
M2.5X73,73.00ñ0.56,2.50ñ0.08
M2.5X74,74.00ñ0.56,2.50ñ0.08
M2.5X75,75.00ñ0.61,2.50ñ0.08
M2.5X76,76.00ñ0.61,2.50ñ0.08
M2.5X77,77.00ñ0.61,2.50ñ0.08
M2.5X78,78.00ñ0.61,2.50ñ0.08
M2.5X79,79.00ñ0.61,2.50ñ0.08
M2.5X80,80.00ñ0.61,2.50ñ0.08
M2.5X81,81.00ñ0.61,2.50ñ0.08
M2.5X82,82.00ñ0.61,2.50ñ0.08
M2.5X83,83.00ñ0.61,2.50ñ0.08
M2.5X84,84.00ñ0.66,2.50ñ0.08
M2.5X85,85.00ñ0.66,2.50ñ0.08
M2.5X86,86.00ñ0.66,2.50ñ0.08
M2.5X87,87.00ñ0.66,2.50ñ0.08
M2.5X88,88.00ñ0.66,2.50ñ0.08
M2.5X89,89.00ñ0.66,2.50ñ0.08
M2.5X90,90.00ñ0.66,2.50ñ0.08
M2.5X91,91.00ñ0.66,2.50ñ0.08
M2.5X92,92.00ñ0.66,2.50ñ0.08
M2.5X93,93.00ñ0.71,2.50ñ0.08
M2.5X94,94.00ñ0.71,2.50ñ0.08
M2.5X95,95.00ñ0.71,2.50ñ0.08
M2.5X96,96.00ñ0.71,2.50ñ0.08
M2.5X97,97.00ñ0.71,2.50ñ0.08
M2.5X98,98.00ñ0.71,2.50ñ0.08
M2.5X99,99.00ñ0.71,2.50ñ0.08
M2.5X100,100.00ñ0.71,2.50ñ0.08
M2.5X101,101.00ñ0.71,2.50ñ0.08
M2.5X102,102.00ñ0.76,2.50ñ0.08
M2.5X103,103.00ñ0.76,2.50ñ0.08
M2.5X104,104.00ñ0.76,2.50ñ0.08
M2.5X105,105.00ñ0.76,2.50ñ0.08
M2.5X106,106.00ñ0.76,2.50ñ0.08
M2.5X107,107.00ñ0.76,2.50ñ0.08
M2.5X108,108.00ñ0.76,2.50ñ0.08
M2.5X109,109.00ñ0.76,2.50ñ0.08
M2.5X110,110.00ñ0.76,2.50ñ0.08
M2.5X111,111.00ñ0.76,2.50ñ0.08
M2.5X112,112.00ñ0.76,2.50ñ0.08
M2.5X113,113.00ñ0.76,2.50ñ0.08
M2.5X114,114.00ñ0.76,2.50ñ0.08
M2.5X115,115.00ñ0.76,2.50ñ0.08
M2.5X116,116.00ñ0.76,2.50ñ0.08
M2.5X117,117.00ñ0.76,2.50ñ0.08
M2.5X118,118.00ñ0.89,2.50ñ0.08
M2.5X119,119.00ñ0.89,2.50ñ0.08
M2.5X120,120.00ñ0.89,2.50ñ0.08
M2.5X121,121.00ñ0.89,2.50ñ0.08
M2.5X122,122.00ñ0.89,2.50ñ0.08
M2.5X123,123.00ñ0.89,2.50ñ0.08
M2.5X124,124.00ñ0.89,2.50ñ0.08
M2.5X125,125.00ñ0.89,2.50ñ0.08
M2.5X126,126.00ñ0.89,2.50ñ0.08
M2.5X127,127.00ñ0.89,2.50ñ0.08
M2.5X128,128.00ñ0.89,2.50ñ0.08
M2.5X129,129.00ñ0.89,2.50ñ0.08
M2.5X130,130.00ñ0.89,2.50ñ0.08
M2.5X131,131.00ñ0.89,2.50ñ0.08
M2.5X132,132.00ñ0.89,2.50ñ0.08
M2.5X133,133.00ñ0.89,2.50ñ0.08
M2.5X134,134.00ñ0.89,2.50ñ0.08
M2.5X135,135.00ñ0.89,2.50ñ0.08
M2.5X136,136.00ñ0.89,2.50ñ0.08
M2.5X137,137.00ñ0.89,2.50ñ0.08
M2.5X138,138.00ñ0.89,2.50ñ0.08
M2.5X139,139.00ñ0.89,2.50ñ0.08
M2.5X140,140.00ñ0.89,2.50ñ0.08
M2.5X141,141.00ñ0.89,2.50ñ0.08
M2.5X142,142.00ñ1.02,2.50ñ0.08
M2.5X143,143.00ñ1.02,2.50ñ0.08
M2.5X144,144.00ñ1.02,2.50ñ0.08
M2.5X145,145.00ñ1.02,2.50ñ0.08
M2.5X146,146.00ñ1.02,2.50ñ0.08
M2.5X147,147.00ñ1.02,2.50ñ0.08
M2.5X148,148.00ñ1.02,2.50ñ0.08
M2.5X149,149.00ñ1.02,2.50ñ0.08
M2.5X150,150.00ñ1.02,2.50ñ0.08
M2.55X29.1,29.10ñ0.30,2.55ñ0.08
M2.62X9.13,9.13ñ0.13,2.62ñ0.08
M2.62X9.9,9.90ñ0.13,2.62ñ0.08
M2.62X11.91,11.91ñ0.15,2.62ñ0.08
M2.62X12.7,12.70ñ0.15,2.62ñ0.08
M2.62X13.1,13.10ñ0.15,2.62ñ0.08
M2.62X15.08,15.08ñ0.18,2.62ñ0.08
M2.62X15.88,15.88ñ0.18,2.62ñ0.08
M2.62X17.46,17.46ñ0.18,2.62ñ0.08
M2.62X17.86,17.86ñ0.20,2.62ñ0.08
M2.62X20.64,20.64ñ0.23,2.62ñ0.08
M2.62X22.23,22.23ñ0.23,2.62ñ0.08
M2.62X23.81,23.81ñ0.23,2.62ñ0.08
M2.62X74.3,74.30ñ0.56,2.62ñ0.08
M2.62X77.5,77.50ñ0.61,2.62ñ0.08
M2.62X80.6,80.60ñ0.61,2.62ñ0.08
M2.62X83.8,83.80ñ0.66,2.62ñ0.08
M2.65X14,14.00ñ0.15,2.65ñ0.08
M2.65X15,15.00ñ0.18,2.65ñ0.08
M2.65X16,16.00ñ0.18,2.65ñ0.08
M2.65X17,17.00ñ0.18,2.65ñ0.08
M2.65X18,18.00ñ0.20,2.65ñ0.08
M2.65X19,19.00ñ0.20,2.65ñ0.08
M2.65X20,20.00ñ0.20,2.65ñ0.08
M2.65X21.2,21.20ñ0.23,2.65ñ0.08
M2.65X22.4,22.40ñ0.23,2.65ñ0.08
M2.65X23.6,23.60ñ0.23,2.65ñ0.08
M2.65X25,25.00ñ0.25,2.65ñ0.08
M2.65X25.8,25.80ñ0.25,2.65ñ0.08
M2.65X26.5,26.50ñ0.25,2.65ñ0.08
M2.65X28,28.00ñ0.25,2.65ñ0.08
M2.65X30,30.00ñ0.30,2.65ñ0.08
M2.65X31.5,31.50ñ0.30,2.65ñ0.08
M2.65X32.5,32.50ñ0.30,2.65ñ0.08
M2.65X33.5,33.50ñ0.30,2.65ñ0.08
M2.65X34.5,34.50ñ0.30,2.65ñ0.08
M2.65X35.5,35.50ñ0.30,2.65ñ0.08
M2.65X36.5,36.50ñ0.36,2.65ñ0.08
M2.65X37.5,37.50ñ0.36,2.65ñ0.08
M2.65X38.7,38.70ñ0.36,2.65ñ0.08
M2.7X8.9,8.90ñ0.13,2.70ñ0.10
M2.7X10.5,10.50ñ0.13,2.70ñ0.10
M2.7X12.1,12.10ñ0.15,2.70ñ0.10
M2.7X13.6,13.60ñ0.15,2.70ñ0.10
M2.7X15.1,15.10ñ0.18,2.70ñ0.10
M2.7X16.9,16.90ñ0.18,2.70ñ0.10
M2.7X18.4,18.40ñ0.20,2.70ñ0.10
M2.7X27.3,27.30ñ0.25,2.70ñ0.10
M3X3,3.00ñ0.13,3.00ñ0.10
M3X3.5,3.50ñ0.13,3.00ñ0.10
M3X4,4.00ñ0.13,3.00ñ0.10
M3X4.5,4.50ñ0.13,3.00ñ0.10
M3X5,5.00ñ0.13,3.00ñ0.10
M3X5.5,5.50ñ0.13,3.00ñ0.10
M3X6,6.00ñ0.13,3.00ñ0.10
M3X6.5,6.50ñ0.13,3.00ñ0.10
M3X7,7.00ñ0.13,3.00ñ0.10
M3X7.5,7.50ñ0.13,3.00ñ0.10
M3X8,8.00ñ0.13,3.00ñ0.10
M3X8.5,8.50ñ0.13,3.00ñ0.10
M3X9,9.00ñ0.13,3.00ñ0.10
M3X9.5,9.50ñ0.13,3.00ñ0.10
M3X10,10.00ñ0.13,3.00ñ0.10
M3X10.5,10.50ñ0.13,3.00ñ0.10
M3X11,11.00ñ0.13,3.00ñ0.10
M3X11.5,11.50ñ0.13,3.00ñ0.10
M3X12,12.00ñ0.15,3.00ñ0.10
M3X12.5,12.50ñ0.15,3.00ñ0.10
M3X13,13.00ñ0.15,3.00ñ0.10
M3X13.5,13.50ñ0.15,3.00ñ0.10
M3X14,14.00ñ0.15,3.00ñ0.10
M3X14.5,14.50ñ0.18,3.00ñ0.10
M3X15,15.00ñ0.18,3.00ñ0.10
M3X15.5,15.50ñ0.18,3.00ñ0.10
M3X16,16.00ñ0.18,3.00ñ0.10
M3X16.5,16.50ñ0.18,3.00ñ0.10
M3X17,17.00ñ0.18,3.00ñ0.10
M3X17.5,17.50ñ0.18,3.00ñ0.10
M3X18,18.00ñ0.20,3.00ñ0.10
M3X18.5,18.50ñ0.20,3.00ñ0.10
M3X19,19.00ñ0.20,3.00ñ0.10
M3X19.2,19.20ñ0.20,3.00ñ0.10
M3X19.5,19.50ñ0.20,3.00ñ0.10
M3X20,20.00ñ0.20,3.00ñ0.10
M3X20.5,20.50ñ0.20,3.00ñ0.10
M3X21,21.00ñ0.23,3.00ñ0.10
M3X21.5,21.50ñ0.23,3.00ñ0.10
M3X22,22.00ñ0.23,3.00ñ0.10
M3X22.2,22.20ñ0.23,3.00ñ0.10
M3X22.5,22.50ñ0.23,3.00ñ0.10
M3X23,23.00ñ0.23,3.00ñ0.10
M3X23.5,23.50ñ0.23,3.00ñ0.10
M3X24,24.00ñ0.25,3.00ñ0.10
M3X24.2,24.20ñ0.25,3.00ñ0.10
M3X24.5,24.50ñ0.25,3.00ñ0.10
M3X24.6,24.60ñ0.25,3.00ñ0.10
M3X25,25.00ñ0.25,3.00ñ0.10
M3X25.5,25.50ñ0.25,3.00ñ0.10
M3X26,26.00ñ0.25,3.00ñ0.10
M3X26.2,26.20ñ0.25,3.00ñ0.10
M3X26.5,26.50ñ0.25,3.00ñ0.10
M3X27,27.00ñ0.25,3.00ñ0.10
M3X27.5,27.50ñ0.25,3.00ñ0.10
M3X28,28.00ñ0.25,3.00ñ0.10
M3X28.5,28.50ñ0.25,3.00ñ0.10
M3X29,29.00ñ0.30,3.00ñ0.10
M3X29.2,29.20ñ0.30,3.00ñ0.10
M3X29.5,29.50ñ0.30,3.00ñ0.10
M3X30,30.00ñ0.30,3.00ñ0.10
M3X30.5,30.50ñ0.30,3.00ñ0.10
M3X31,31.00ñ0.30,3.00ñ0.10
M3X31.5,31.50ñ0.30,3.00ñ0.10
M3X32,32.00ñ0.30,3.00ñ0.10
M3X32.2,32.20ñ0.30,3.00ñ0.10
M3X32.5,32.50ñ0.30,3.00ñ0.10
M3X33,33.00ñ0.30,3.00ñ0.10
M3X33.5,33.50ñ0.30,3.00ñ0.10
M3X34,34.00ñ0.30,3.00ñ0.10
M3X34.2,34.20ñ0.30,3.00ñ0.10
M3X34.5,34.50ñ0.30,3.00ñ0.10
M3X35,35.00ñ0.30,3.00ñ0.10
M3X35.5,35.50ñ0.30,3.00ñ0.10
M3X36,36.00ñ0.36,3.00ñ0.10
M3X36.2,36.20ñ0.36,3.00ñ0.10
M3X36.5,36.50ñ0.36,3.00ñ0.10
M3X37,37.00ñ0.36,3.00ñ0.10
M3X37.5,37.50ñ0.36,3.00ñ0.10
M3X38,38.00ñ0.36,3.00ñ0.10
M3X38.5,38.50ñ0.36,3.00ñ0.10
M3X39,39.00ñ0.36,3.00ñ0.10
M3X39.2,39.20ñ0.36,3.00ñ0.10
M3X39.5,39.50ñ0.36,3.00ñ0.10
M3X40,40.00ñ0.36,3.00ñ0.10
M3X41,41.00ñ0.36,3.00ñ0.10
M3X41.5,41.50ñ0.36,3.00ñ0.10
M3X42,42.00ñ0.36,3.00ñ0.10
M3X42.2,42.20ñ0.36,3.00ñ0.10
M3X42.5,42.50ñ0.36,3.00ñ0.10
M3X43,43.00ñ0.36,3.00ñ0.10
M3X44,44.00ñ0.41,3.00ñ0.10
M3X44.2,44.20ñ0.41,3.00ñ0.10
M3X44.5,44.50ñ0.41,3.00ñ0.10
M3X45,45.00ñ0.41,3.00ñ0.10
M3X46,46.00ñ0.41,3.00ñ0.10
M3X47,47.00ñ0.41,3.00ñ0.10
M3X48,48.00ñ0.41,3.00ñ0.10
M3X49,49.00ñ0.41,3.00ñ0.10
M3X49.5,49.50ñ0.41,3.00ñ0.10
M3X50,50.00ñ0.41,3.00ñ0.10
M3X50.5,50.50ñ0.41,3.00ñ0.10
M3X51,51.00ñ0.46,3.00ñ0.10
M3X52,52.00ñ0.46,3.00ñ0.10
M3X53,53.00ñ0.46,3.00ñ0.10
M3X54,54.00ñ0.46,3.00ñ0.10
M3X54.5,54.50ñ0.46,3.00ñ0.10
M3X55,55.00ñ0.46,3.00ñ0.10
M3X56,56.00ñ0.46,3.00ñ0.10
M3X57,57.00ñ0.46,3.00ñ0.10
M3X58,58.00ñ0.46,3.00ñ0.10
M3X59,59.00ñ0.51,3.00ñ0.10
M3X59.5,59.50ñ0.51,3.00ñ0.10
M3X60,60.00ñ0.51,3.00ñ0.10
M3X61,61.00ñ0.51,3.00ñ0.10
M3X62,62.00ñ0.51,3.00ñ0.10
M3X63,63.00ñ0.51,3.00ñ0.10
M3X64,64.00ñ0.51,3.00ñ0.10
M3X64.5,64.50ñ0.51,3.00ñ0.10
M3X65,65.00ñ0.51,3.00ñ0.10
M3X66,66.00ñ0.51,3.00ñ0.10
M3X67,67.00ñ0.56,3.00ñ0.10
M3X68,68.00ñ0.56,3.00ñ0.10
M3X69,69.00ñ0.56,3.00ñ0.10
M3X69.5,69.50ñ0.56,3.00ñ0.10
M3X70,70.00ñ0.56,3.00ñ0.10
M3X71,71.00ñ0.56,3.00ñ0.10
M3X72,72.00ñ0.56,3.00ñ0.10
M3X73,73.00ñ0.56,3.00ñ0.10
M3X74,74.00ñ0.56,3.00ñ0.10
M3X74.5,74.50ñ0.56,3.00ñ0.10
M3X75,75.00ñ0.61,3.00ñ0.10
M3X76,76.00ñ0.61,3.00ñ0.10
M3X77,77.00ñ0.61,3.00ñ0.10
M3X78,78.00ñ0.61,3.00ñ0.10
M3X79,79.00ñ0.61,3.00ñ0.10
M3X79.5,79.50ñ0.61,3.00ñ0.10
M3X80,80.00ñ0.61,3.00ñ0.10
M3X81,81.00ñ0.61,3.00ñ0.10
M3X82,82.00ñ0.61,3.00ñ0.10
M3X83,83.00ñ0.61,3.00ñ0.10
M3X84,84.00ñ0.66,3.00ñ0.10
M3X84.5,84.50ñ0.66,3.00ñ0.10
M3X85,85.00ñ0.66,3.00ñ0.10
M3X86,86.00ñ0.66,3.00ñ0.10
M3X87,87.00ñ0.66,3.00ñ0.10
M3X88,88.00ñ0.66,3.00ñ0.10
M3X89,89.00ñ0.66,3.00ñ0.10
M3X89.5,89.50ñ0.66,3.00ñ0.10
M3X90,90.00ñ0.66,3.00ñ0.10
M3X91,91.00ñ0.66,3.00ñ0.10
M3X92,92.00ñ0.66,3.00ñ0.10
M3X93,93.00ñ0.71,3.00ñ0.10
M3X94,94.00ñ0.71,3.00ñ0.10
M3X94.5,94.50ñ0.71,3.00ñ0.10
M3X95,95.00ñ0.71,3.00ñ0.10
M3X96,96.00ñ0.71,3.00ñ0.10
M3X97,97.00ñ0.71,3.00ñ0.10
M3X98,98.00ñ0.71,3.00ñ0.10
M3X99,99.00ñ0.71,3.00ñ0.10
M3X99.5,99.50ñ0.71,3.00ñ0.10
M3X100,100.00ñ0.71,3.00ñ0.10
M3X101,101.00ñ0.71,3.00ñ0.10
M3X102,102.00ñ0.76,3.00ñ0.10
M3X103,103.00ñ0.76,3.00ñ0.10
M3X104,104.00ñ0.76,3.00ñ0.10
M3X104.5,104.50ñ0.76,3.00ñ0.10
M3X105,105.00ñ0.76,3.00ñ0.10
M3X106,106.00ñ0.76,3.00ñ0.10
M3X107,107.00ñ0.76,3.00ñ0.10
M3X108,108.00ñ0.76,3.00ñ0.10
M3X109,109.00ñ0.76,3.00ñ0.10
M3X109.5,109.50ñ0.76,3.00ñ0.10
M3X110,110.00ñ0.76,3.00ñ0.10
M3X111,111.00ñ0.76,3.00ñ0.10
M3X112,112.00ñ0.76,3.00ñ0.10
M3X113,113.00ñ0.76,3.00ñ0.10
M3X114,114.00ñ0.76,3.00ñ0.10
M3X114.5,114.50ñ0.76,3.00ñ0.10
M3X115,115.00ñ0.76,3.00ñ0.10
M3X116,116.00ñ0.76,3.00ñ0.10
M3X117,117.00ñ0.76,3.00ñ0.10
M3X118,118.00ñ0.89,3.00ñ0.10
M3X119,119.00ñ0.89,3.00ñ0.10
M3X119.5,119.50ñ0.89,3.00ñ0.10
M3X120,120.00ñ0.89,3.00ñ0.10
M3X121,121.00ñ0.89,3.00ñ0.10
M3X122,122.00ñ0.89,3.00ñ0.10
M3X123,123.00ñ0.89,3.00ñ0.10
M3X124,124.00ñ0.89,3.00ñ0.10
M3X124.5,124.50ñ0.89,3.00ñ0.10
M3X125,125.00ñ0.89,3.00ñ0.10
M3X126,126.00ñ0.89,3.00ñ0.10
M3X127,127.00ñ0.89,3.00ñ0.10
M3X128,128.00ñ0.89,3.00ñ0.10
M3X129,129.00ñ0.89,3.00ñ0.10
M3X129.5,129.50ñ0.89,3.00ñ0.10
M3X130,130.00ñ0.89,3.00ñ0.10
M3X131,131.00ñ0.89,3.00ñ0.10
M3X132,132.00ñ0.89,3.00ñ0.10
M3X133,133.00ñ0.89,3.00ñ0.10
M3X134,134.00ñ0.89,3.00ñ0.10
M3X134.5,134.50ñ0.89,3.00ñ0.10
M3X135,135.00ñ0.89,3.00ñ0.10
M3X136,136.00ñ0.89,3.00ñ0.10
M3X137,137.00ñ0.89,3.00ñ0.10
M3X138,138.00ñ0.89,3.00ñ0.10
M3X139,139.00ñ0.89,3.00ñ0.10
M3X139.5,139.50ñ0.89,3.00ñ0.10
M3X140,140.00ñ0.89,3.00ñ0.10
M3X141,141.00ñ0.89,3.00ñ0.10
M3X142,142.00ñ1.02,3.00ñ0.10
M3X143,143.00ñ1.02,3.00ñ0.10
M3X144,144.00ñ1.02,3.00ñ0.10
M3X144.5,144.50ñ1.02,3.00ñ0.10
M3X145,145.00ñ1.02,3.00ñ0.10
M3X146,146.00ñ1.02,3.00ñ0.10
M3X147,147.00ñ1.02,3.00ñ0.10
M3X148,148.00ñ1.02,3.00ñ0.10
M3X149,149.00ñ1.02,3.00ñ0.10
M3X149.5,149.50ñ1.02,3.00ñ0.10
M3X150,150.00ñ1.02,3.00ñ0.10
M3X151,151.00ñ1.02,3.00ñ0.10
M3X152,152.00ñ1.02,3.00ñ0.10
M3X153,153.00ñ1.02,3.00ñ0.10
M3X154,154.00ñ1.02,3.00ñ0.10
M3X154.5,154.50ñ1.02,3.00ñ0.10
M3X155,155.00ñ1.02,3.00ñ0.10
M3X156,156.00ñ1.02,3.00ñ0.10
M3X157,157.00ñ1.02,3.00ñ0.10
M3X158,158.00ñ1.02,3.00ñ0.10
M3X159,159.00ñ1.02,3.00ñ0.10
M3X159.5,159.50ñ1.02,3.00ñ0.10
M3X160,160.00ñ1.02,3.00ñ0.10
M3X161,161.00ñ1.02,3.00ñ0.10
M3X162,162.00ñ1.02,3.00ñ0.10
M3X163,163.00ñ1.02,3.00ñ0.10
M3X164,164.00ñ1.02,3.00ñ0.10
M3X164.5,164.50ñ1.02,3.00ñ0.10
M3X165,165.00ñ1.02,3.00ñ0.10
M3X166,166.00ñ1.02,3.00ñ0.10
M3X167,167.00ñ1.14,3.00ñ0.10
M3X168,168.00ñ1.14,3.00ñ0.10
M3X169,169.00ñ1.14,3.00ñ0.10
M3X169.5,169.50ñ1.14,3.00ñ0.10
M3X170,170.00ñ1.14,3.00ñ0.10
M3X171,171.00ñ1.14,3.00ñ0.10
M3X172,172.00ñ1.14,3.00ñ0.10
M3X173,173.00ñ1.14,3.00ñ0.10
M3X174,174.00ñ1.14,3.00ñ0.10
M3X174.5,174.50ñ1.14,3.00ñ0.10
M3X175,175.00ñ1.14,3.00ñ0.10
M3X176,176.00ñ1.14,3.00ñ0.10
M3X177,177.00ñ1.14,3.00ñ0.10
M3X178,178.00ñ1.14,3.00ñ0.10
M3X179,179.00ñ1.14,3.00ñ0.10
M3X179.5,179.50ñ1.14,3.00ñ0.10
M3X180,180.00ñ1.14,3.00ñ0.10
M3X181,181.00ñ1.14,3.00ñ0.10
M3X182,182.00ñ1.14,3.00ñ0.10
M3X183,183.00ñ1.14,3.00ñ0.10
M3X184,184.00ñ1.14,3.00ñ0.10
M3X184.5,184.50ñ1.14,3.00ñ0.10
M3X185,185.00ñ1.14,3.00ñ0.10
M3X186,186.00ñ1.14,3.00ñ0.10
M3X187,187.00ñ1.14,3.00ñ0.10
M3X188,188.00ñ1.14,3.00ñ0.10
M3X189,189.00ñ1.14,3.00ñ0.10
M3X190,190.00ñ1.14,3.00ñ0.10
M3X191,191.00ñ1.14,3.00ñ0.10
M3X192,192.00ñ1.14,3.00ñ0.10
M3X193,193.00ñ1.27,3.00ñ0.10
M3X194,194.00ñ1.27,3.00ñ0.10
M3X194.5,194.50ñ1.27,3.00ñ0.10
M3X195,195.00ñ1.27,3.00ñ0.10
M3X196,196.00ñ1.27,3.00ñ0.10
M3X197,197.00ñ1.27,3.00ñ0.10
M3X198,198.00ñ1.27,3.00ñ0.10
M3X198.5,198.50ñ1.27,3.00ñ0.10
M3X199,199.00ñ1.27,3.00ñ0.10
M3X199.5,199.50ñ1.27,3.00ñ0.10
M3X200,200.00ñ1.27,3.00ñ0.10
M3X201,201.00ñ1.27,3.00ñ0.10
M3X202,202.00ñ1.27,3.00ñ0.10
M3X203,203.00ñ1.27,3.00ñ0.10
M3X204,204.00ñ1.27,3.00ñ0.10
M3X204.5,204.50ñ1.27,3.00ñ0.10
M3X205,205.00ñ1.27,3.00ñ0.10
M3X206,206.00ñ1.27,3.00ñ0.10
M3X207,207.00ñ1.27,3.00ñ0.10
M3X208,208.00ñ1.27,3.00ñ0.10
M3X209,209.00ñ1.27,3.00ñ0.10
M3X209.5,209.50ñ1.27,3.00ñ0.10
M3X210,210.00ñ1.27,3.00ñ0.10
M3X211,211.00ñ1.27,3.00ñ0.10
M3X212,212.00ñ1.27,3.00ñ0.10
M3X213,213.00ñ1.27,3.00ñ0.10
M3X214,214.00ñ1.27,3.00ñ0.10
M3X215,215.00ñ1.27,3.00ñ0.10
M3X216,216.00ñ1.27,3.00ñ0.10
